gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SEPT7	2.861557507831187e-151	-0.47828024634025423	0.504	0.628	6.95129549802352e-147
BTN3A2	6.697291059489424e-151	-0.5895859619959807	0.355	0.49	1.6269059441711709e-146
DUSP16	7.814205335381936e-151	0.8383332170580959	0.343	0.228	1.8982267600709797e-146
RPL6	8.727600029125851e-151	0.3419332955552661	0.881	0.835	2.1201085990752515e-146
CALR	3.323465306631645e-150	-0.5429577096250819	0.486	0.602	8.073361922869592e-146
GNG2	3.826117777359935e-149	-0.6121369761361617	0.358	0.488	9.294405304762754e-145
RPLP0	7.3936832707573e-148	0.5872555586524959	0.525	0.408	1.7960735401323633e-143
GALNT1	2.454797147163461e-146	-0.7754655138649087	0.205	0.329	5.96319322988948e-142
MT2A	5.4176214367766236e-145	-1.0579091457241154	0.249	0.369	1.3160485994217775e-140
ALOX5AP	9.497850687726119e-144	-0.6813951701563856	0.345	0.464	2.307217889062429e-139
FOXO1	3.564321109644584e-143	0.7861909271166675	0.332	0.218	8.658448839548623e-139
TLK1	6.196717646087037e-143	0.8972360369307605	0.284	0.177	1.505306650587463e-138
RPL10	7.750065218578285e-143	0.4254407649210008	0.767	0.702	1.882645842897037e-138
TAP1	6.972681605245204e-142	-0.500109676933352	0.433	0.559	1.693803815546165e-137
MYO1F	4.8882164602723955e-141	-0.8342277572596477	0.164	0.278	1.1874455425293703e-136
RPL18	7.112647861162745e-141	0.4236561464935664	0.736	0.656	1.727804418433654e-136
CBLB	1.1307128299980093e-139	-0.7383730964325015	0.221	0.342	2.7467276066311644e-135
PIP4K2A	1.5465951591631977e-139	-0.5780380049251794	0.372	0.501	3.75698896063924e-135
CDK2AP2	1.7230410273046966e-139	-0.7007815292364709	0.245	0.368	4.185611263528569e-135
THEMIS	2.1815921309932892e-136	-0.8108672705023566	0.175	0.289	5.299523604608898e-132
CTSD	2.4905211751086195e-136	-0.7508547695994274	0.194	0.312	6.049974038573859e-132
TSC22D3	5.4012950363758775e-136	0.5117989873487243	0.637	0.524	1.3120825902364282e-131
RPL24	3.6743193573136984e-133	0.39454271046610057	0.693	0.602	8.925656582786437e-129
IQGAP1	4.412232259899085e-133	-0.39243373663203096	0.599	0.707	1.0718194605746856e-128
COTL1	4.1727823616509733e-132	-0.5524792792510778	0.476	0.568	1.0136522912922545e-127
SLC2A3	1.7057935567177837e-131	0.7480258283900125	0.477	0.375	4.14371370797884e-127
IFI6	2.057614893264156e-130	-0.5984793346279806	0.302	0.424	4.998358098717287e-126
RPL15	2.2241047079982427e-130	0.3616694553122266	0.762	0.687	5.4027951566693314e-126
ZBTB7A	6.780459597257051e-128	-0.6312332351171548	0.267	0.387	1.647109245365683e-123
EML4	8.913973473738033e-128	0.6932210260440888	0.362	0.253	2.165382436240443e-123
ARPC5L	1.5722215128204906e-126	-0.7467107309732773	0.201	0.314	3.819240498943536e-122
ZYX	1.821682546475609e-126	-0.5452040377170384	0.392	0.508	4.4252312418985494e-122
SPN	2.526769638904257e-125	-0.5885212383984011	0.344	0.465	6.138028806826221e-121
RPL28	3.779432290156128e-123	0.2506076568814133	0.923	0.885	9.180996919247266e-119
TLN1	1.069506705677014e-122	-0.4437266521020369	0.492	0.603	2.598045689430602e-118
